URL,CANONICAL,TITLE,DESCRIPTION
/,,"Live events with friends - plan together, sit together, split the bill","Your one stop shop for planning an outing to concerts, theater and sporting events with friends:  Tickets, Parking, Restaurant Deals & Hotels."
/index,/,,
/about-us,,Get the scoop on who Wembli is,Wembli lets you organize outings to live events with friends without ever getting stuck with the bill.
/login,, Log in to your dashboard to view your plans,"Make a plan, review your current plans and RSVP to plans you’ve been invited to."
/signup,,Sign up and start planning,Start a plan to get tickets to live events with friends now.  Everyone pays up front so you don’t have to.
/terms-policies,,Learn about our Terms of Use,"View the Terms of Use of Wembli.com. User acknowledges that Wembli is a medium that  allows people to buy and sell tickets to concert, sporting and entertainment events."
/contact-us,,Wembli – How to contact us,Have a question?  Want to offer some feedback?  We want to hear from you! Send your note to team@wembli.com
/jobs,,Work at Wembli,Wembli hires right. We care about our culture and our people because we know that is what drives our success. 
/concert-tickets,,Buy Concert Tickets Online,There's no such thing as a sold out concert.  Get the best available seats for your favorite performer. Invite friends - split the bill.
/sports-tickets,,Sports Tickets Online - Buy Now,"Tickets to all the live sports events you want to see: Baseball, Football, Hockey, Basketball, NHL, MLB, NFL, NBA.  Invite friends -split the bill."
/theater-tickets,,Buy Theater Tickets Online,"Buy tickets to live theater events: Shows, Musicals, Broadway, Theatre all in one place.  Plan an outing and everyone pays for tickets up front."
